x Distance [mm]	Height [cm]
 39.330 	 8.064 
 39.520 	 8.062 
 39.710 	 8.062 
 39.895 	 8.062 
 40.085 	 8.061 
 40.270 	 8.057 
 40.460 	 8.057 
 40.650 	 8.057 
 40.835 	 8.057 
 41.025 	 8.057 
 41.210 	 8.057 
 41.400 	 8.057 
 41.590 	 8.057 
 41.775 	 8.059 
 41.965 	 8.058 
 42.150 	 8.054 
 42.340 	 8.052 
 42.530 	 8.049 
 42.715 	 8.049 
 42.905 	 8.052 
 43.090 	 8.052 
 43.280 	 8.054 
 43.470 	 8.059 
 43.655 	 8.058 
 43.845 	 8.053 
 44.030 	 8.057 
 44.220 	 8.057 
 44.410 	 8.057 
 44.595 	 8.057 
 44.785 	 8.057 
 44.970 	 8.057 
 45.160 	 8.057 
 45.350 	 8.057 
 45.535 	 8.054 
 45.725 	 8.052 
 45.910 	 8.054 
 46.100 	 8.057 
 46.290 	 8.057 
 46.475 	 8.057 
 46.665 	 8.059 
 46.850 	 8.062 
 47.040 	 8.062 
 47.230 	 8.062 
 47.415 	 8.059 
 47.605 	 8.057 
 47.790 	 8.057 
 47.980 	 8.054 
 48.170 	 8.050 
 48.355 	 8.045 
 48.545 	 8.040 
 48.730 	 8.037 
 48.920 	 8.037 
 49.110 	 8.037 
 49.295 	 8.037 
 49.485 	 8.035 
 49.670 	 8.032 
 49.860 	 8.032 
 50.050 	 8.034 
 50.235 	 8.039 
 50.425 	 8.042 
 50.610 	 8.044 
 50.800 	 8.045 
 50.990 	 8.042 
 51.175 	 8.042 
 51.365 	 8.043 
 51.550 	 8.046 
 51.740 	 8.045 
 51.930 	 8.052 
 52.115 	 8.052 
 52.305 	 8.052 
 52.490 	 8.052 
 52.680 	 8.048 
 52.870 	 8.045 
 53.055 	 8.051 
 53.245 	 8.048 
 53.430 	 8.051 
 53.620 	 8.047 
 53.810 	 8.047 
 53.995 	 8.047 
 54.185 	 8.047 
 54.370 	 8.048 
 54.560 	 8.052 
 54.750 	 8.052 
 54.935 	 8.052 
 55.125 	 8.050 
 55.310 	 8.047 
 55.500 	 8.047 
 55.690 	 8.047 
 55.875 	 8.047 
 56.065 	 8.047 
 56.250 	 8.047 
 56.440 	 8.047 
 56.630 	 8.047 
 56.815 	 8.045 
 57.005 	 8.044 
 57.190 	 8.047 
 57.380 	 8.047 
 57.570 	 8.047 
 57.755 	 8.045 
 57.945 	 8.039 
 58.130 	 8.042 
 58.320 	 8.042 
 58.510 	 8.042 
 58.695 	 8.042 
 58.885 	 8.042 
 59.070 	 8.042 
 59.260 	 8.043 
 59.450 	 8.047 
 59.635 	 8.046 
 59.825 	 8.041 
 60.010 	 8.037 
 60.200 	 8.038 
 60.390 	 8.042 
 60.575 	 8.042 
 60.765 	 8.043 
 60.950 	 8.047 
 61.140 	 8.047 
 61.330 	 8.048 
 61.515 	 8.048 
 61.705 	 8.042 
 61.890 	 8.042 
 62.080 	 8.038 
 62.270 	 8.032 
 62.455 	 8.034 
 62.645 	 8.037 
 62.830 	 8.036 
 63.020 	 8.032 
 63.210 	 8.031 
 63.395 	 8.026 
 63.585 	 8.022 
 63.770 	 8.021 
 63.960 	 8.020 
 64.150 	 8.021 
 64.335 	 8.018 
 64.525 	 8.014 
 64.710 	 8.006 
 64.900 	 8.000 
 65.090 	 7.995 
 65.275 	 7.993 
 65.465 	 7.981 
 65.650 	 7.979 
 65.840 	 7.977 
 66.030 	 7.974 
 66.215 	 7.974 
 66.405 	 7.974 
 66.590 	 7.979 
 66.780 	 7.982 
 66.970 	 7.979 
 67.155 	 7.979 
 67.345 	 7.977 
 67.530 	 7.974 
 67.720 	 7.974 
 67.910 	 7.974 
 68.095 	 7.972 
 68.285 	 7.971 
 68.470 	 7.974 
 68.660 	 7.976 
 68.850 	 7.977 
 69.035 	 7.974 
 69.225 	 7.974 
 69.410 	 7.974 
 69.600 	 7.974 
 69.790 	 7.974 
 69.975 	 7.970 
 70.165 	 7.969 
 70.350 	 7.969 
 70.540 	 7.966 
 70.730 	 7.964 
 70.915 	 7.966 
 71.105 	 7.964 
 71.290 	 7.959 
 71.480 	 7.961 
 71.670 	 7.964 
 71.855 	 7.967 
 72.045 	 7.969 
 72.230 	 7.969 
 72.420 	 7.966 
 72.610 	 7.964 
 72.795 	 7.964 
 72.985 	 7.964 
 73.170 	 7.966 
 73.360 	 7.972 
 73.550 	 7.970 
 73.735 	 7.973 
 73.925 	 7.974 
 74.110 	 7.974 
 74.300 	 7.974 
 74.490 	 7.976 
 74.675 	 7.976 
 74.865 	 7.976 
 75.050 	 7.979 
 75.240 	 7.979 
 75.430 	 7.986 
 75.615 	 7.984 
 75.805 	 7.983 
 75.990 	 7.980 
 76.180 	 7.981 
 76.370 	 7.981 
 76.555 	 7.979 
 76.745 	 7.981 
 76.930 	 7.981 
 77.120 	 7.979 
 77.310 	 7.982 
 77.495 	 7.987 
 77.685 	 7.985 
 77.870 	 7.980 
 78.060 	 7.981 
 78.250 	 7.983 
 78.435 	 7.983 
 78.625 	 7.983 
 78.810 	 7.983 
 79.000 	 7.983 
 79.190 	 7.986 
 79.375 	 7.985 
 79.565 	 7.980 
 79.750 	 7.982 
 79.940 	 7.983 
 80.130 	 7.983 
 80.315 	 7.983 
 80.505 	 7.983 
 80.690 	 7.983 
 80.880 	 7.983 
 81.070 	 7.983 
 81.255 	 7.983 
 81.445 	 7.986 
 81.630 	 7.985 
 81.820 	 7.983 
 82.010 	 7.980 
 82.195 	 7.979 
 82.385 	 7.979 
 82.570 	 7.982 
 82.760 	 7.983 
 82.950 	 7.983 
 83.135 	 7.986 
 83.325 	 7.981 
 83.510 	 7.979 
 83.700 	 7.979 
 83.890 	 7.979 
 84.075 	 7.979 
 84.265 	 7.976 
 84.450 	 7.974 
 84.640 	 7.977 
 84.830 	 7.979 
 85.015 	 7.979 
 85.205 	 7.982 
 85.390 	 7.990 
 85.580 	 7.988 
 85.770 	 7.987 
 85.955 	 7.988 
 86.145 	 7.992 
 86.330 	 7.993 
 86.520 	 7.993 
 86.710 	 7.993 
 86.895 	 7.990 
 87.085 	 7.988 
 87.270 	 7.988 
 87.460 	 7.988 
 87.650 	 7.991 
 87.835 	 7.993 
 88.025 	 7.991 
 88.210 	 7.988 
 88.400 	 7.984 
 88.590 	 7.987 
 88.775 	 7.988 
 88.965 	 7.988 
 89.150 	 7.988 
 89.340 	 7.992 
 89.530 	 7.997 
 89.715 	 7.998 
 89.905 	 8.001 
 90.090 	 8.003 
 90.280 	 7.999 
 90.470 	 8.005 
 90.655 	 8.005 
 90.845 	 8.003 
 91.030 	 8.003 
 91.220 	 8.005 
 91.410 	 8.010 
 91.595 	 8.013 
 91.785 	 8.010 
 91.970 	 8.013 
 92.160 	 8.018 
 92.350 	 8.018 
 92.535 	 8.015 
 92.725 	 8.013 
 92.910 	 8.010 
 93.100 	 8.011 
 93.290 	 8.013 
 93.475 	 8.013 
 93.665 	 8.015 
 93.850 	 8.018 
 94.040 	 8.015 
 94.230 	 8.015 
 94.415 	 8.018 
 94.605 	 8.018 
 94.790 	 8.018 
 94.980 	 8.018 
 95.170 	 8.018 
 95.355 	 8.018 
 95.545 	 8.018 
 95.730 	 8.018 
 95.920 	 8.020 
 96.110 	 8.022 
 96.295 	 8.020 
 96.485 	 8.018 
 96.670 	 8.018 
 96.860 	 8.015 
 97.050 	 8.013 
 97.235 	 8.015 
 97.425 	 8.015 
 97.610 	 8.013 
 97.800 	 8.018 
 97.990 	 8.020 
 98.175 	 8.018 
 98.365 	 8.018 
 98.550 	 8.018 
 98.740 	 8.014 
 98.930 	 8.016 
 99.115 	 8.018 
 99.305 	 8.018 
 99.490 	 8.018 
 99.680 	 8.018 
 99.870 	 8.018 
 100.055 	 8.018 
 100.245 	 8.018 
 100.430 	 8.018 
 100.620 	 8.015 
 100.810 	 8.013 
 100.995 	 8.013 
 101.185 	 8.013 
 101.370 	 8.013 
 101.560 	 8.016 
 101.750 	 8.018 
 101.935 	 8.018 
 102.125 	 8.020 
 102.310 	 8.017 
 102.500 	 8.013 
 102.690 	 8.013 
 102.875 	 8.013 
 103.065 	 8.015 
 103.250 	 8.018 
 103.440 	 8.022 
 103.630 	 8.025 
 103.815 	 8.027 
 104.005 	 8.027 
 104.190 	 8.030 
 104.380 	 8.030 
 104.570 	 8.029 
 104.755 	 8.032 
 104.945 	 8.030 
 105.130 	 8.027 
 105.320 	 8.027 
 105.510 	 8.027 
 105.695 	 8.027 
 105.885 	 8.027 
 106.070 	 8.029 
 106.260 	 8.030 
 106.450 	 8.027 
 106.635 	 8.027 
 106.825 	 8.027 
 107.010 	 8.027 
 107.200 	 8.027 
 107.390 	 8.027 
 107.575 	 8.030 
 107.765 	 8.029 
 107.950 	 8.027 
 108.140 	 8.025 
 108.330 	 8.025 
 108.515 	 8.027 
 108.705 	 8.027 
 108.890 	 8.027 
 109.080 	 8.027 
 109.270 	 8.030 
 109.455 	 8.032 
 109.645 	 8.032 
 109.830 	 8.030 
 110.020 	 8.027 
 110.210 	 8.027 
 110.395 	 8.027 
 110.585 	 8.027 
 110.770 	 8.027 
 110.960 	 8.027 
 111.150 	 8.027 
 111.335 	 8.030 
 111.525 	 8.030 
 111.710 	 8.029 
 111.900 	 8.032 
 112.090 	 8.032 
 112.275 	 8.032 
 112.465 	 8.035 
 112.650 	 8.037 
 112.840 	 8.037 
 113.030 	 8.037 
 113.215 	 8.037 
 113.405 	 8.037 
 113.590 	 8.034 
 113.780 	 8.032 
 113.970 	 8.032 
 114.155 	 8.029 
 114.345 	 8.030 
 114.530 	 8.032 
 114.720 	 8.029 
 114.910 	 8.027 
 115.095 	 8.027 
 115.285 	 8.030 
 115.470 	 8.027 
 115.660 	 8.025 
 115.850 	 8.027 
 116.035 	 8.030 
 116.225 	 8.032 
 116.410 	 8.030 
 116.600 	 8.027 
 116.790 	 8.027 
 116.975 	 8.027 
 117.165 	 8.027 
 117.350 	 8.027 
 117.540 	 8.030 
 117.730 	 8.028 
 117.915 	 8.024 
 118.105 	 8.022 
 118.290 	 8.026 
 118.480 	 8.031 
 118.670 	 8.032 
 118.855 	 8.032 
 119.045 	 8.029 
 119.230 	 8.027 
 119.420 	 8.027 
 119.610 	 8.025 
 119.795 	 8.022 
 119.985 	 8.022 
 120.170 	 8.022 
 120.360 	 8.025 
 120.550 	 8.027 
 120.735 	 8.027 
 120.925 	 8.024 
 121.110 	 8.025 
 121.300 	 8.027 
 121.490 	 8.024 
 121.675 	 8.022 
 121.865 	 8.022 
 122.050 	 8.022 
 122.240 	 8.022 
 122.430 	 8.025 
 122.615 	 8.027 
 122.805 	 8.027 
 122.990 	 8.027 
 123.180 	 8.027 
 123.370 	 8.027 
 123.555 	 8.027 
 123.745 	 8.024 
 123.930 	 8.026 
 124.120 	 8.027 
 124.310 	 8.027 
 124.495 	 8.027 
 124.685 	 8.027 
 124.870 	 8.027 
 125.060 	 8.027 
 125.250 	 8.027 
 125.435 	 8.024 
 125.625 	 8.026 
 125.810 	 8.027 
 126.000 	 8.030 
 126.190 	 8.032 
 126.375 	 8.029 
 126.565 	 8.027 
 126.750 	 8.027 
 126.940 	 8.027 
 127.130 	 8.027 
 127.315 	 8.027 
 127.505 	 8.027 
 127.690 	 8.027 
 127.880 	 8.027 
 128.070 	 8.027 
 128.255 	 8.030 
 128.445 	 8.029 
 128.630 	 8.027 
 128.820 	 8.027 
 129.010 	 8.024 
 129.195 	 8.025 
 129.385 	 8.027 
 129.570 	 8.027 
 129.760 	 8.030 
 129.950 	 8.029 
 130.135 	 8.027 
 130.325 	 8.027 
 130.510 	 8.030 
 130.700 	 8.029 
 130.890 	 8.027 
 131.075 	 8.027 
 131.265 	 8.027 
 131.450 	 8.027 
 131.640 	 8.027 
 131.830 	 8.027 
 132.015 	 8.030 
 132.205 	 8.029 
 132.390 	 8.027 
 132.580 	 8.024 
 132.770 	 8.022 
 132.955 	 8.022 
 133.145 	 8.022 
 133.330 	 8.025 
 133.520 	 8.027 
 133.710 	 8.030 
 133.895 	 8.029 
 134.085 	 8.027 
 134.270 	 8.024 
 134.460 	 8.022 
 134.650 	 8.022 
 134.835 	 8.022 
 135.025 	 8.025 
 135.210 	 8.024 
 135.400 	 8.022 
 135.590 	 8.022 
 135.775 	 8.022 
 135.965 	 8.019 
 136.150 	 8.018 
 136.340 	 8.018 
 136.530 	 8.021 
 136.715 	 8.019 
 136.905 	 8.018 
 137.090 	 8.018 
 137.280 	 8.018 
 137.470 	 8.018 
 137.655 	 8.018 
 137.845 	 8.018 
 138.030 	 8.018 
 138.220 	 8.018 
 138.410 	 8.021 
 138.595 	 8.019 
 138.785 	 8.018 
 138.970 	 8.018 
 139.160 	 8.018 
 139.350 	 8.018 
 139.535 	 8.021 
 139.725 	 8.022 
 139.910 	 8.019 
 140.100 	 8.018 
 140.290 	 8.018 
 140.475 	 8.018 
 140.665 	 8.018 
 140.850 	 8.014 
 141.040 	 8.013 
 141.230 	 8.009 
 141.415 	 8.008 
 141.605 	 8.008 
 141.790 	 8.008 
 141.980 	 8.008 
 142.170 	 8.013 
 142.355 	 8.009 
 142.545 	 8.008 
 142.730 	 8.008 
 142.920 	 8.013 
 143.110 	 8.013 
 143.295 	 8.010 
 143.485 	 8.011 
 143.670 	 8.013 
 143.860 	 8.016 
 144.050 	 8.014 
 144.235 	 8.013 
 144.425 	 8.016 
 144.610 	 8.018 
 144.800 	 8.014 
 144.990 	 8.013 
 145.175 	 8.009 
 145.365 	 8.012 
 145.550 	 8.010 
 145.740 	 8.004 
 145.930 	 8.003 
 146.115 	 8.003 
 146.305 	 8.003 
 146.490 	 7.999 
 146.680 	 7.998 
 146.870 	 8.002 
 147.055 	 8.006 
 147.245 	 8.008 
 147.430 	 8.012 
 147.620 	 8.013 
 147.810 	 8.006 
 147.995 	 8.003 
 148.185 	 7.999 
 148.370 	 7.998 
 148.560 	 8.002 
 148.750 	 8.007 
 148.935 	 8.014 
 149.125 	 8.018 
 149.310 	 8.013 
 149.500 	 8.013 
 149.690 	 8.002 
 149.875 	 7.998 
 150.065 	 7.995 
 150.250 	 7.989 
 150.440 	 7.992 
 150.630 	 7.997 
 150.815 	 7.998 
 151.005 	 8.003 
 151.190 	 8.003 
 151.380 	 8.003 
 151.570 	 8.003 
 151.755 	 8.007 
 151.945 	 8.003 
 152.130 	 7.999 
 152.320 	 7.998 
 152.510 	 7.998 
 152.695 	 7.998 
 152.885 	 7.998 
 153.070 	 8.002 
 153.260 	 7.994 
 153.450 	 7.998 
 153.635 	 7.998 
 153.825 	 7.994 
 154.010 	 7.993 
 154.200 	 7.993 
 154.390 	 7.997 
 154.575 	 7.998 
 154.765 	 7.998 
 154.950 	 8.002 
 155.140 	 8.003 
 155.330 	 7.998 
 155.515 	 7.993 
 155.705 	 7.993 
 155.890 	 7.993 
 156.080 	 7.989 
 156.270 	 7.988 
 156.455 	 7.985 
 156.645 	 7.983 
 156.830 	 7.983 
 157.020 	 7.990 
 157.210 	 7.990 
 157.395 	 7.988 
 157.585 	 7.988 
 157.770 	 7.984 
 157.960 	 7.983 
 158.150 	 7.986 
 158.335 	 7.988 
 158.525 	 7.988 
 158.710 	 7.988 
 158.900 	 7.991 
 159.090 	 7.993 
 159.275 	 7.993 
 159.465 	 7.988 
 159.650 	 7.984 
 159.840 	 7.983 
 160.030 	 7.983 
 160.215 	 7.983 
 160.405 	 7.979 
 160.590 	 7.979 
 160.780 	 7.982 
 160.970 	 7.980 
 161.155 	 7.983 
 161.345 	 7.983 
 161.530 	 7.980 
 161.720 	 7.979 
 161.910 	 7.974 
 162.095 	 7.974 
 162.285 	 7.978 
 162.470 	 7.979 
 162.660 	 7.979 
 162.850 	 7.979 
 163.035 	 7.974 
 163.225 	 7.969 
 163.410 	 7.969 
 163.600 	 7.965 
 163.790 	 7.958 
 163.975 	 7.950 
 164.165 	 7.941 
 164.350 	 7.931 
 164.540 	 7.921 
 164.730 	 7.916 
 164.915 	 7.911 
 165.105 	 7.910 
 165.290 	 7.910 
 165.480 	 7.910 
 165.670 	 7.914 
 165.855 	 7.919 
 166.045 	 7.916 
 166.230 	 7.919 
 166.420 	 7.920 
 166.610 	 7.915 
 166.795 	 7.919 
 166.985 	 7.920 
 167.170 	 7.916 
 167.360 	 7.919 
 167.550 	 7.924 
 167.735 	 7.925 
 167.925 	 7.925 
 168.110 	 7.925 
 168.300 	 7.930 
 168.490 	 7.930 
 168.675 	 7.930 
 168.865 	 7.930 
 169.050 	 7.930 
 169.240 	 7.930 
 169.430 	 7.930 
 169.615 	 7.934 
 169.805 	 7.935 
 169.990 	 7.935 
 170.180 	 7.935 
 170.370 	 7.935 
 170.555 	 7.939 
 170.745 	 7.939 
 170.930 	 7.939 
 171.120 	 7.944 
 171.310 	 7.940 
 171.495 	 7.944 
 171.685 	 7.945 
 171.870 	 7.949 
 172.060 	 7.949 
 172.250 	 7.949 
 172.435 	 7.945 
 172.625 	 7.949 
 172.810 	 7.949 
 173.000 	 7.949 
 173.190 	 7.950 
 173.375 	 7.954 
 173.565 	 7.955 
 173.750 	 7.959 
 173.940 	 7.959 
 174.130 	 7.955 
 174.315 	 7.959 
 174.505 	 7.960 
 174.690 	 7.963 
 174.880 	 7.964 
 175.070 	 7.964 
 175.255 	 7.964 
 175.445 	 7.964 
 175.630 	 7.964 
 175.820 	 7.964 
 176.010 	 7.968 
 176.195 	 7.973 
 176.385 	 7.969 
 176.570 	 7.969 
 176.760 	 7.969 
 176.950 	 7.969 
 177.135 	 7.964 
 177.325 	 7.965 
 177.510 	 7.968 
 177.700 	 7.965 
 177.890 	 7.964 
 178.075 	 7.973 
 178.265 	 7.964 
 178.450 	 7.964 
 178.640 	 7.968 
 178.830 	 7.964 
 179.015 	 7.968 
 179.205 	 7.965 
 179.390 	 7.964 
 179.580 	 7.964 
 179.770 	 7.960 
 179.955 	 7.963 
 180.145 	 7.960 
 180.330 	 7.959 
 180.520 	 7.955 
 180.710 	 7.959 
 180.895 	 7.959 
 181.085 	 7.959 
 181.270 	 7.959 
 181.460 	 7.955 
 181.650 	 7.959 
 181.835 	 7.951 
 182.025 	 7.954 
 182.210 	 7.950 
 182.400 	 7.949 
 182.590 	 7.949 
 182.775 	 7.949 
 182.965 	 7.949 
 183.150 	 7.949 
 183.340 	 7.949 
 183.530 	 7.949 
 183.715 	 7.953 
 183.905 	 7.950 
 184.090 	 7.945 
 184.280 	 7.949 
 184.470 	 7.954 
 184.655 	 7.950 
 184.845 	 7.945 
 185.030 	 7.944 
 185.220 	 7.944 
 185.410 	 7.944 
 185.595 	 7.944 
 185.785 	 7.940 
 185.970 	 7.939 
 186.160 	 7.939 
 186.350 	 7.939 
 186.535 	 7.939 
 186.725 	 7.939 
 186.910 	 7.939 
 187.100 	 7.935 
 187.290 	 7.939 
 187.475 	 7.939 
 187.665 	 7.939 
 187.850 	 7.935 
 188.040 	 7.935 
 188.230 	 7.935 
 188.415 	 7.935 
 188.605 	 7.935 
 188.790 	 7.939 
 188.980 	 7.935 
 189.170 	 7.930 
 189.355 	 7.930 
 189.545 	 7.930 
 189.730 	 7.930 
 189.920 	 7.930 
 190.110 	 7.934 
 190.295 	 7.927 
 190.485 	 7.929 
 190.670 	 7.930 
 190.860 	 7.925 
 191.050 	 7.925 
 191.235 	 7.925 
 191.425 	 7.925 
 191.610 	 7.921 
 191.800 	 7.920 
 191.990 	 7.924 
 192.175 	 7.918 
 192.365 	 7.915 
 192.550 	 7.911 
 192.740 	 7.906 
 192.930 	 7.905 
 193.115 	 7.897 
 193.305 	 7.896 
 193.490 	 7.887 
 193.680 	 7.882 
 193.870 	 7.873 
 194.055 	 7.871 
 194.245 	 7.863 
 194.430 	 7.857 
 194.620 	 7.852 
 194.810 	 7.847 
 194.995 	 7.839 
 195.185 	 7.829 
 195.370 	 7.819 
 195.560 	 7.802 
 195.750 	 7.794 
 195.935 	 7.767 
 196.125 	 7.747 
 196.310 	 7.727 
 196.500 	 7.720 
 196.690 	 7.720 
 196.875 	 7.724 
 197.065 	 7.738 
 197.250 	 7.739 
 197.440 	 7.750 
 197.630 	 7.758 
 197.815 	 7.776 
 198.005 	 7.783 
 198.190 	 7.783 
 198.380 	 7.779 
 198.570 	 7.787 
 198.755 	 7.796 
 198.945 	 7.802 
 199.130 	 7.803 
 199.320 	 7.811 
 199.510 	 7.820 
 199.695 	 7.835 
 199.885 	 7.841 
 200.070 	 7.850 
 200.260 	 7.856 
 200.450 	 7.860 
 200.635 	 7.858 
 200.825 	 7.865 
 201.010 	 7.870 
 201.200 	 7.875 
 201.390 	 7.880 
 201.575 	 7.885 
 201.765 	 7.886 
 201.950 	 7.886 
 202.140 	 7.882 
 202.330 	 7.881 
 202.515 	 7.881 
 202.705 	 7.881 
 202.890 	 7.885 
 203.080 	 7.889 
 203.270 	 7.891 
 203.455 	 7.891 
 203.645 	 7.894 
 203.830 	 7.896 
 204.020 	 7.896 
 204.210 	 7.896 
 204.395 	 7.904 
 204.585 	 7.905 
 204.770 	 7.901 
 204.960 	 7.905 
 205.150 	 7.901 
 205.335 	 7.900 
 205.525 	 7.905 
 205.710 	 7.901 
 205.900 	 7.905 
 206.090 	 7.901 
 206.275 	 7.900 
 206.465 	 7.900 
 206.650 	 7.900 
 206.840 	 7.900 
 207.030 	 7.900 
 207.215 	 7.900 
 207.405 	 7.896 
 207.590 	 7.896 
 207.780 	 7.896 
 207.970 	 7.896 
 208.155 	 7.896 
 208.345 	 7.896 
 208.530 	 7.896 
 208.720 	 7.896 
 208.910 	 7.895 
 209.095 	 7.891 
 209.285 	 7.891 
 209.470 	 7.891 
 209.660 	 7.895 
 209.850 	 7.888 
 210.035 	 7.890 
 210.225 	 7.886 
 210.410 	 7.886 
 210.600 	 7.886 
 210.790 	 7.890 
 210.975 	 7.886 
 211.165 	 7.886 
 211.350 	 7.881 
 211.540 	 7.881 
 211.730 	 7.881 
 211.915 	 7.885 
 212.105 	 7.881 
 212.290 	 7.881 
 212.480 	 7.881 
 212.670 	 7.877 
 212.855 	 7.876 
 213.045 	 7.876 
 213.230 	 7.876 
 213.420 	 7.872 
 213.610 	 7.871 
 213.795 	 7.871 
 213.985 	 7.871 
 214.170 	 7.871 
 214.360 	 7.867 
 214.550 	 7.869 
 214.735 	 7.867 
 214.925 	 7.862 
 215.110 	 7.861 
 215.300 	 7.861 
 215.490 	 7.861 
 215.675 	 7.858 
 215.865 	 7.856 
 216.050 	 7.856 
 216.240 	 7.857 
 216.430 	 7.861 
 216.615 	 7.861 
